territorial,fecha_registro,pr,distancia_pr,fecha_acc,dia_semana_acc,min_acc,condic_meteor,estado_super,terreno,secc_tip,geometria_acc,tipo_cierre,horas_cierre,min_cierre,n_heridos,n_muertos,n_victimas,clase_accidente,causa_posible,ref_loc,hora_acc,duracion_cierre_horas
Valle del Cauca,2020-08-21 23:56:00,37,200.0,2020-04-15 05:00:00,miercoles,10,Lluvia,Humeda,Plano,Cajón,Recta,Parcial con reducción de carriles,0,30,0,0,0.0,Choque,condiciones de la via y factores ambientales,4001_2_37,0.0,0.0
Valle del Cauca,2020-08-22 00:01:00,31,600.0,2020-04-18 05:00:00,sabado,10,Normal,Humeda,Plano,Cajón,Recta,Parcial con reducción de carriles,2,30,0,0,0.0,Choque,no mantener distancia de seguridad,4001_2_31,8.0,18.0
Planta Central,2020-08-22 17:05:00,64,700.0,2020-02-01 05:00:00,sabado,55,Normal,Seca y limpia,Ondulado,Media ladera Izquierda,Curva Izquierda,Transito normal con precaución,20,0,0,0,0.0,Choque,adelantamientos indebidos,2510_1_64,19.0,1.0
Planta Central,2020-08-22 17:10:00,71,800.0,2020-02-18 05:00:00,martes,0,Normal,Seca y limpia,Ondulado,Media ladera Izquierda,Curva Derecha,Transito normal con precaución,16,20,0,0,0.0,Choque,no mantener distancia de seguridad,2510_1_71,16.0,0.0
Planta Central,2020-08-22 17:15:00,78,60.0,2020-02-20 05:00:00,jueves,0,Normal,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,14,0,0,0,0.0,Choque,condiciones de la via y factores ambientales,2510_1_78,13.0,1.0
Planta Central,2020-08-22 17:24:00,78,900.0,2020-02-08 05:00:00,sabado,40,Normal,Seca y limpia,Ondulado,Media Ladera Derecha,Curva Derecha,Parcial con reducción de carriles,16,10,1,0,1.0,Choque,condiciones de la via y factores ambientales,2510_1_78,15.0,1.0
Planta Central,2020-08-22 17:28:00,82,950.0,2020-02-23 05:00:00,domingo,0,Lluvia,Humeda,Montañoso,Media ladera Izquierda,Curva Derecha,Transito normal con precaución,19,20,0,0,0.0,Choque,no mantener distancia de seguridad,2510_1_82,19.0,0.0
Planta Central,2020-08-22 17:35:00,87,300.0,2020-02-17 05:00:00,lunes,5,Lluvia,Humeda,Montañoso,Media ladera Izquierda,Curva Derecha,Transito normal con precaución,6,30,0,0,0.0,Choque,maniobras imprudentes,2510_1_87,6.0,0.0
Tolima,2020-08-23 15:55:00,21,920.0,2020-07-30 05:00:00,jueves,45,Seca,Seca y limpia,Montañoso,Media ladera Izquierda,Curva Izquierda,Parcial restringido a vehiculos pesados,10,15,0,0,0.0,Caída de carga,fallas mecanicas y del sistema electrico,5007_1_21,8.0,2.0
Tolima,2020-08-23 16:08:00,22,650.0,2020-07-30 05:00:00,jueves,30,Seca,Seca y limpia,Montañoso,Media ladera Izquierda,Curva Derecha,Transito normal con precaución,10,15,0,0,0.0,Volcamiento,fallas mecanicas y del sistema electrico,5007_1_22,7.0,3.0
